time,i_bus_d,i_bus_q,p,q
0.6492985971943888,-8.871544844993949,9.832133238285284,8.76875759760665,8.76875759760665
0.6513026052104208,-8.87154456135622,9.832133628806229,8.768757729941575,8.768757729941575
0.6533066132264529,-8.871544294301966,9.832134016911281,8.768757874613287,8.768757874613287
0.655310621242485,-8.871544033887755,9.832134400517822,8.768758020752768,8.768758020752768
0.657314629258517,-8.871543777606771,9.832134775756177,8.76875816233137,8.76875816233137
0.6593186372745491,-8.871543526253499,9.832135140677876,8.768758298138156,8.768758298138156
0.6613226452905812,-8.871543281119665,9.832135495166085,8.768758429204217,8.768758429204217
0.6633266533066132,-8.871543043000058,9.832135839928236,8.768758556930203,8.768758556930203
0.6653306613226453,-8.871542812173434,9.832136175782098,8.768758682367459,8.768758682367459
0.6673346693386772,-8.871542588642495,9.83213650338651,8.768758806166153,8.768758806166153
0.6693386773547093,-8.871542372719311,9.832136823948279,8.768758929789696,8.768758929789696
0.6713426853707414,-8.871542162986863,9.832137136068265,8.768759050605315,8.768759050605315
0.6733466933867734,-8.871541960658373,9.832137441098578,8.768759171018734,8.768759171018734
0.6753507014028055,-8.871541765307786,9.83213773941862,8.768759291025015,8.768759291025015
0.6773547094188376,-8.87154157659835,9.832138031169256,8.7687594104639,8.7687594104639
0.6793587174348696,-8.871541394262204,9.83213831641649,8.768759529162654,8.768759529162654
0.6813627254509017,-8.871541218037157,9.832138595202741,8.768759646930377,8.768759646930377
0.6833667334669338,-8.871541047624653,9.83213886753782,8.76875976351185,8.76875976351185
0.6853707414829658,-8.87154088267938,9.832139133383592,8.768759878563234,8.768759878563234
0.6873747494989979,-8.871540722807172,9.832139392648191,8.768759991644517,8.768759991644517
0.68937875751503,-8.871540567571655,9.832139645179218,8.768760102218726,8.768760102218726
0.691382765531062,-8.871540416494051,9.832139890765164,8.768760209653154,8.768760209653154
0.6933867735470941,-8.871540269916286,9.832140129871277,8.768760314708576,8.768760314708576
0.6953907815631262,-8.871540124761129,9.832140360534149,8.768760412724564,8.768760412724564
0.6973947895791582,-8.871539982642062,9.832140583076951,8.768760505450274,8.768760505450274
0.6993987975951903,-8.871539859234979,9.832140815096553,8.768760624094126,8.768760624094126
0.7014028056112224,-8.871539739494526,9.832141041286112,8.768760740258669,8.768760740258669
0.7034068136272544,-8.871539618000948,9.832141256136776,8.768760843719363,8.768760843719363
0.7054108216432865,-8.871539495443603,9.83214146055583,8.768760935979833,8.768760935979833
0.7074148296593186,-8.871539372484852,9.832141655434997,8.768761018504449,8.768761018504449
0.7094188376753506,-8.871539249737054,9.832141841633568,8.76876109268133,8.76876109268133
0.7114228456913827,-8.871539127756098,9.832142019965834,8.768761159804262,8.768761159804262
0.7134268537074148,-8.871539007045712,9.83214219119423,8.768761221069765,8.768761221069765
0.7154308617234468,-8.871538888061098,9.832142356027765,8.768761277578777,8.768761277578777
0.7174348697394789,-8.871539549050063,9.832143325559796,8.768762817235473,8.768762817235473
0.719438877755511,-8.871538657209449,9.832142669799694,8.768761381282875,8.768761381282875
0.721442885771543,-8.871538545179567,9.832142818854901,8.768761428448341,8.768761428448341
